id,filename,f1,f1p,f2,f2p,f3,f3p,f4,f4p,f5,f5p,f6,f6p,f1px,f1py,f2px,f2py,f3px,f3py,f4px,f4py,f5px,f5py,f6px,f6py
0,0_Cam.000__5_8_3_2_5_1.jpg,Flch0_azul,5,Flch6_morada,8,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,1,234,347,294,220,175,60,207,26,249,349,131,45
1,1_Cam.003__1_2_3_7_4_1.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,3,Flch2_naranja,7,Flch3_amarilla,4,Flch4_roja,1,60,79,82,86,88,118,238,285,231,75,431,193
2,2_Cam.000__8_7_7_8_1_4.jpg,Flch0_azul,8,Flch6_morada,7,Flch1_verde,7,Flch2_naranja,8,Flch3_amarilla,1,Flch4_roja,4,278,198,211,156,193,244,285,258,368,178,139,199
3,3_Cam.002__4_1_5_4_1_2.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,5,Flch2_naranja,4,Flch3_amarilla,1,Flch4_roja,2,266,339,48,136,307,307,146,154,418,160,347,125
4,4_Cam.003__1_1_1_5_2_3.jpg,Flch0_azul,1,Flch6_morada,1,Flch1_verde,1,Flch2_naranja,5,Flch3_amarilla,2,Flch4_roja,3,38,317,49,95,200,14,289,105,252,412,64,208
5,5_Cam.003__4_2_3_2_5_8.jpg,Flch0_azul,4,Flch6_morada,2,Flch1_verde,3,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,8,291,88,58,298,359,129,56,133,333,270,246,164
6,6_Cam.002__4_1_7_2_5_7.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,7,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,7,313,155,425,200,258,190,162,80,330,285,250,193
7,7_Cam.002__1_1_3_5_2_1.jpg,Flch0_azul,1,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,2,Flch4_roja,1,87,345,419,261,295,125,307,190,199,373,29,229
8,8_Cam.003__1_4_6_5_4_7.jpg,Flch0_azul,1,Flch6_morada,4,Flch1_verde,6,Flch2_naranja,5,Flch3_amarilla,4,Flch4_roja,7,7,196,147,98,142,164,203,341,78,171,204,290
9,9_Cam.002__2_5_3_5_1_4.jpg,Flch0_azul,2,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,5,Flch3_amarilla,1,Flch4_roja,4,333,129,165,326,347,169,121,299,413,196,99,219
10,10_Cam.003__5_3_1_5_5_4.jpg,Flch0_azul,5,Flch6_morada,3,Flch1_verde,1,Flch2_naranja,5,Flch3_amarilla,5,Flch4_roja,4,162,111,102,100,417,280,168,118,125,290,81,187
11,11_Cam.002__1_2_1_1_9_4.jpg,Flch0_azul,1,Flch6_morada,2,Flch1_verde,1,Flch2_naranja,1,Flch3_amarilla,9,Flch4_roja,4,421,169,395,173,414,251,410,190,196,245,190,135
12,12_Cam.001__5_3_8_1_2_3.jpg,Flch0_azul,5,Flch6_morada,3,Flch1_verde,8,Flch2_naranja,1,Flch3_amarilla,2,Flch4_roja,3,148,294,123,289,215,167,115,108,120,310,267,329
13,13_Cam.002__4_1_3_4_4_4.jpg,Flch0_azul,4,Flch6_morada,1,Flch1_verde,3,Flch2_naranja,4,Flch3_amarilla,4,Flch4_roja,4,91,251,92,100,327,328,96,259,82,203,203,340
14,14_Cam.001__2_3_1_2_5_9.jpg,Flch0_azul,2,Flch6_morada,3,Flch1_verde,1,Flch2_naranja,2,Flch3_amarilla,5,Flch4_roja,9,214,376,209,356,130,345,324,97,227,117,180,213
15,15_Cam.003__4_5_3_9_4_1.jpg,Flch0_azul,4,Flch6_morada,5,Flch1_verde,3,Flch2_naranja,9,Flch3_amarilla,4,Flch4_roja,1,177,347,158,103,393,224,261,211,84,208,421,282
16,16_Cam.000__1_5_2_3_2_1.jpg,Flch0_azul,1,Flch6_morada,5,Flch1_verde,2,Flch2_naranja,3,Flch3_amarilla,2,Flch4_roja,1,352,341,324,250,80,150,328,321,87,279,215,14
17,17_Cam.001__3_1_2_9_6_2.jpg,Flch0_azul,3,Flch6_morada,1,Flch1_verde,2,Flch2_naranja,9,Flch3_amarilla,6,Flch4_roja,2,152,339,87,220,308,326,222,199,155,272,156,364
